"","study_order","ManiCheck","Exp1_check","Exp1_check_DO_1","Exp1_check_DO_2","Exp1_check_DO_3","Exp1_prob_hiring","Exp1_loyalty","Exp1_honesty","Exp2_S1_check","Exp2_S1_seen_wrong","Exp2_S1_self_action","Exp2_S1_guide_other","Exp2_S2F_check","Exp2_S2F_seen_wrong","Exp2_S2F_self_action","Exp2_S2F_guide_other","Exp2_S2M_check","Exp2_S2M_seen_wrong","Exp2_S2M_self_action","Exp2_S2M_guide_other","MASC_set1","MASC_set2","MASC_set3","BIDR_self_deceptive","BIDR_impre_manage","age","gender","origcount","residence","soc_class","engunder","funnel_pay","assignmentId","hitId","CountryCode","CountryName","condition","Exp2_S2_seen_wrong_T2","Exp2_S2_self_action_T2","Exp2_S2_guide_other_T2"
"605","Exp2First",3.83333333333333,1,3,1,2,2,5,9,3,8,2,2,1,4,5,6,NA,NA,NA,NA,3.4375,3.66666666666667,3.5,1,8,39,2,"U.S.","U.S.",4,7,6,"3LWJHTCVCCNM6JJ715VOTVXK3IKFQI","3ZLW647WALW8C440PWYJ7KE1IZL32L","","","Neutral",4,5,6
"606","Exp1First",2.83333333333333,1,1,3,2,4,4,5,3,7,1,1,NA,NA,NA,NA,1,6,1,1,4.5625,4.33333333333333,5.5,7,8,41,2,"United States","United States",3,7,7,"3ZY8KE4ISJ4B2G5X1K0SBH06RC8VQM","3VADEH0UHCY8OSQLH9AWB5U6LPBPSL","","","Neutral",6,1,1
"607","Exp2First",3.66666666666667,1,2,3,1,1,6,1,3,7,3,3,NA,NA,NA,NA,1,1,9,6,5.4375,4.25,7,4,11,34,4,"usa","usa",4,7,3,"3ND9UOO81K3DQ8PPZPXSGXKQOFNWL8","386T3MLZLNWNHR7SMQP1FDTX1NT80Y","","","Neutral",1,9,6
"608","Exp1First",4.5,1,3,1,2,1,1,1,3,9,1,1,1,3,6,5,NA,NA,NA,NA,3.625,3.83333333333333,7,3,8,31,1,"United States","United States",4,7,6,"3WMINLGALB4NGRSGL781VPXC2N7ACW","3H4IKZHALBJB5UM3TYGI8MF5YB2NNB","","","Neutral",3,6,5
"609","Exp2First",4.33333333333333,1,1,2,3,5,4,5,3,6,2,2,NA,NA,NA,NA,1,4,6,5,4.125,4.16666666666667,6.5,2,4,39,2,"United States","United States",3,7,7,"3SKEMFQBZ36RG1BPGM5LNH4PH8G8K3","38VTL6WC4AE1R4KBW0T7VLDQBA75YU","","","Neutral",4,6,5
"610","Exp1First",4.33333333333333,1,2,1,3,1,1,1,3,9,1,1,1,5,1,1,NA,NA,NA,NA,4.625,3.33333333333333,6.5,3,14,71,1,"United States","United States",2,7,5,"31UV0MXWNQDHNO2ZILD6YHFLNEQ5IN","3HEADTGN2PT9SXN4OWJQRNESLBTVRO","","","Neutral",5,1,1
"611","Exp1First",3.83333333333333,1,1,3,2,3,2,2,3,9,2,1,NA,NA,NA,NA,1,3,1,1,3.9375,4.33333333333333,4,5,10,84,1,"USA","USA",4,7,6,"3E47SOBEYQX2M9BEXV0ECNLVFVDCI3","3X0EMNLXEPQOGK7PB4F1MSEDKT5VPW","","","Neutral",3,1,1
"612","Exp1First",3.66666666666667,1,3,2,1,3,4,6,3,5,5,6,NA,NA,NA,NA,1,6,7,2,2.75,3.91666666666667,3.5,7,8,30,4,"USA","USA",4,7,4,"3KB8R4ZV1E85GDDDT74GGR2XIXNGBA","3087LXLJ6MHWW6HFU4V7P5AJOR60F7","","","Neutral",6,7,2
"613","Exp2First",4.33333333333333,1,3,1,2,2,3,3,3,5,5,4,1,3,6,6,NA,NA,NA,NA,4.5,4.08333333333333,4.5,0,5,22,2,"United States","California",4,7,7,"37WLF8U1WPR4CNS1N78N338YBDX6KM","3V8JSVE8YYR1NND471MAZFJ3O35YEN","","","Neutral",3,6,6
"614","Exp1First",2.66666666666667,1,2,1,3,1,1,3,3,9,1,1,1,9,1,1,NA,NA,NA,NA,4,4.33333333333333,5.5,4,12,40,2,"United States","United States",2,7,2,"3NXNZ5RS1AY3ZRNF2KMQJ8UEVUZ79M","36KM3FWE3RDJHD29CLXV1DX2Q3N073","","","Neutral",9,1,1
